Class,Guard,Average_Score,Season_High,Events_Count
Scholastic Regional A,Canyon Hills HS,76.98,76.98,1
Scholastic Regional A,Iowa Colony HS,76.83,78.08,2
Scholastic Regional A,Methuen HS,76.72,76.72,1
Scholastic Regional A,North Paulding HS,76.72,76.72,1
Scholastic Regional A,Central Dauphin East HS,76.5,76.5,1
Scholastic Regional A,Gretna East HS,76.36,76.36,1
Scholastic Regional A,Bonita Vista HS,76.26,76.26,1
Scholastic Regional A,Lee's Summit HS JV,75.96,75.96,1
Scholastic Regional A,Reynoldsburg HS,75.96,75.96,1
Scholastic Regional A,Frontier HS JV,75.9,75.9,1
Scholastic Regional A,Mid-Buchanan HS,75.6,80.04,3
Scholastic Regional A,Westwood HS JV,75.31,78.72,2
Scholastic Regional A,Lucy Beckham Varsity,75.18,75.18,1
Scholastic Regional A,Diamond Bar HS JV,75.06,75.06,1
Scholastic Regional A,Penns Grove HS,74.82,74.82,1
Scholastic Regional A,Windermere HS,74.8,74.8,1
Scholastic Regional A,Pearl HS,74.02,74.02,1
Scholastic Regional A,Pattonville HS  JV,73.92,73.92,1
Scholastic Regional A,Hickman HS,73.66,77.9,2
Scholastic Regional A,Tooele HS,73.64,73.64,1
Scholastic Regional A,Desert Mountain HS,73.62,73.62,1
Scholastic Regional A,Trion HS,73.46,73.46,1
Scholastic Regional A,Lake Travis HS A,72.9,72.9,1
Scholastic Regional A,Santa Teresa HS (NM),72.82,72.82,1
Scholastic Regional A,Columbus HS,72.78,72.78,1
Scholastic Regional A,Bellevue West HS JV,72.66,72.66,1
Scholastic Regional A,Cedar Valley HS JV,72.64,72.64,1
Scholastic Regional A,Maumee HS,72.48,72.48,1
Scholastic Regional A,Irondale HS RA,72.18,72.18,1
Scholastic Regional A,Germantown HS JV,72.14,72.14,1
Scholastic Regional A,Lee’s Summit West HS,71.85,76.96,2
Scholastic Regional A,West Jordan HS,71.76,71.76,1
Scholastic Regional A,West Orange HS (FL) JV,71.74,71.74,1
Scholastic Regional A,Rockford HS JV,71.7,71.7,1
Scholastic Regional A,John I. Leonard HS,71.68,71.68,1
Scholastic Regional A,Castle View HS,71.2,71.2,1
Scholastic Regional A,Colleyville Heritage HS,70.88,70.88,1
Scholastic Regional A,Millard North HS,70.74,70.74,1
Scholastic Regional A,Perquimans County HS,70.1,70.1,1
Scholastic Regional A,Lamphere HS,69.96,69.96,1
Scholastic Regional A,Bullitt East HS,69.92,69.92,1
Scholastic Regional A,Papillion-La Vista South HS,69.92,69.92,1
Scholastic Regional A,Madison Central HS,69.76,69.76,1
Scholastic Regional A,Onalaska HS,69.74,69.74,1
Scholastic Regional A,Vista Ridge High School,69.66,69.66,1
Scholastic Regional A,Kelso HS,69.12,69.12,1
Scholastic Regional A,Brandon Valley HS,69.04,69.04,1
Scholastic Regional A,Pace HS JV,68.7,68.7,1
Scholastic Regional A,Kiski Area HS,68.4,68.4,1
Scholastic Regional A,ASU Preparatory STEM Academy JV,68.02,68.02,1
Scholastic Regional A,Sahuarita HS,67.88,67.88,1
Scholastic Regional A,Texas HS Varsity,67.88,67.88,1
Scholastic Regional A,Cleveland MS,67.78,67.78,1
Scholastic Regional A,Rowlett HS,67.44,67.44,1
Scholastic Regional A,London HS,67.12,67.12,1
Scholastic Regional A,Cascade HS JV,66.7,66.7,1
Scholastic Regional A,Bellevue East HS JV,66.58,66.58,1
Scholastic Regional A,McKeesport HS,66.46,66.46,1
Scholastic Regional A,Roosevelt HS (SD),66.36,66.36,1
Scholastic Regional A,Theodore Roosevelt HS,66.08,66.08,1
Scholastic Regional A,Antioch Middle School,65.72,65.72,1
Scholastic Regional A,Penn-Trafford HS A,65.08,65.08,1
Scholastic Regional A,Colleton County HS JV,64.98,64.98,1
Scholastic Regional A,Greater Johnstown HS,64.38,64.38,1
Scholastic Regional A,Troy Athens HS JV,64.04,64.04,1
Scholastic Regional A,Skyview HS,63.6,63.6,1
Scholastic Regional A,Hampton HS,61.58,61.58,1
Scholastic Regional A,Liberty HS (OR),60.7,60.7,1
Scholastic Regional A,James River HS,60.08,60.08,1
Scholastic Regional A,Deer Lakes HS,59.56,59.56,1
Scholastic Regional A,Horseheads HS,58.42,58.42,1
Scholastic Regional A,Southgate Anderson HS,57.84,57.84,1
Scholastic Regional A,Beaverton HS,57.64,57.64,1
Scholastic Regional A,Sabino HS,56.82,56.82,1
Scholastic World,The Woodlands HS,88.45,92.3,2
Scholastic World,Arcadia HS,86.31,89.25,4
Scholastic World,Flanagan HS,85.4,90.2,2
Scholastic World,Warren Central HS (IN),84.98,87.85,3
Scholastic World,Tarpon Springs HS,84.6,89.0,2
Scholastic World,Carmel HS,84.35,88.3,2
Scholastic World,El Dorado HS,84.32,88.65,3
Scholastic World,Stoneman Douglas HS,82.2,82.2,1
Scholastic World,Northview HS,81.95,86.3,2
Scholastic World,James Logan HS,81.3,81.3,1
Scholastic World,Center Grove HS,81.1,84.6,2
Scholastic World,Kiski Area HS,80.75,80.75,1
Scholastic World,Miamisburg HS,80.65,85.0,2
Scholastic World,American Fork HS,80.4,80.4,1
Scholastic World,Chino Hills HS,79.08,83.95,3
Scholastic World,Ayala HS,77.92,80.85,2
Scholastic World,Fishers HS,77.05,79.5,2
Scholastic World,Flower Mound HS,76.58,80.15,3
Scholastic World,West Broward HS,76.2,76.2,1
Scholastic World,Bellbrook HS,75.38,78.55,2
Scholastic World,Palm Desert HS,75.0,79.5,3
Scholastic World,Norwin HS,74.4,83.1,2
Scholastic World,Cleveland HS (NC),73.83,78.2,3
Scholastic World,Live Oak HS,72.7,72.7,1
Scholastic World,Sunlake HS,72.1,77.5,2
Scholastic World,Chino HS,71.62,72.95,2
Scholastic World,Milford HS (OH),71.55,73.5,2
Scholastic World,Centerville HS,70.0,71.9,2
